,PSDB
José Otávio Germano,
Vignatti,
Leônidas Cristino,PDT
Bozzella,PSL
Beto Albuquerque,
Sen. Jonas Pinheiro e Dep. Sandro Mabel,
Darci Coelho,
Vanessa Grazziotin,
Davidson Magalhães (*),PCdoB
Joice Hasselmann,PSL
Vilson  Covatti,PP**
Liliam Sá,PROS
Paulo Pimenta,PT
Rubens Bueno,PPS
George Hilton,PRB
Celso Jacob,MDB
Newton Lima,PT
Rôney Nemer,PP
Marcelo Ramos,PL
Joseildo Ramos,PT
Odorico Monteiro,PSB
Goulart,PSD
Celina Leão,PP
Alberto Fraga e Luiz Antonio Fleury,
Eduardo Valverde,
Soraya Santos,PL
Margarete Coelho,PP
Laércio Oliveira,SDD
Jorge Khoury,
André Figueiredo,PDT
